Format Version,1.23,Take Name,Take 2023-06-26 02.51.41 PM,Take Notes,,Capture Frame Rate,500.000000,Export Frame Rate,500.000000,Capture Start Time,2023-06-26 02.51.41.822 PM,Capture Start Frame,1562457,Total Frames in Take,4599,Total Exported Frames,4599,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1557,Unlabeled 1557,Unlabeled 1557,Unlabeled 1558,Unlabeled 1558,Unlabeled 1558,Unlabeled 1559,Unlabeled 1559,Unlabeled 1559
,ID,"64A549E3878145B11EE","64A549E3878145B11EE","64A549E3878145B11EE","64B549E3878145B11EE","64B549E3878145B11EE","64B549E3878145B11EE","64C549E3878145B11EE","64C549E3878145B11EE","64C549E3878145B11EE"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z
143,0.286000,28.115868,-101.137039,157.582062,24.135899,267.081573,280.996094,35.104446,10.317752,286.849487
144,0.288000,28.115883,-101.132057,157.580032,24.134188,267.079865,280.999390,35.103432,10.317425,286.851715
145,0.290000,28.117762,-101.133537,157.579834,24.134319,267.083160,280.995148,35.106350,10.315450,286.850464
146,0.292000,28.116083,-101.132164,157.580902,24.135567,267.082397,280.999634,35.106537,10.322629,286.848145
147,0.294000,28.118164,-101.131691,157.583069,24.134026,267.085693,280.999023,35.102345,10.323435,286.850006
148,0.296000,28.115528,-101.132095,157.579147,24.131567,267.078888,280.998749,35.100422,10.318716,286.853180
149,0.298000,28.116968,-101.132919,157.578217,24.136185,267.082611,281.000427,35.101395,10.317219,286.854340
150,0.300000,28.111816,-101.135223,157.580353,24.134117,267.081848,281.000031,35.099751,10.315351,286.853790
151,0.302000,28.114882,-101.135864,157.579498,24.132746,267.083771,280.998962,35.100960,10.319646,286.853363
152,0.304000,28.114204,-101.133987,157.580246,24.134895,267.080750,280.998535,35.105183,10.317273,286.849792
153,0.306000,28.115734,-101.134453,157.575562,24.131496,267.080292,280.998871,35.099064,10.313536,286.851196
154,0.308000,28.112614,-101.135643,157.576492,24.133341,267.081665,280.999329,35.102356,10.311919,286.853088
155,0.310000,28.113628,-101.137024,157.582001,24.134115,267.081573,281.000854,35.101841,10.320315,286.850220
156,0.312000,28.112141,-101.134689,157.577179,24.131384,267.080872,280.999023,35.100468,10.317798,286.850128
157,0.314000,28.118523,-101.135315,157.576752,24.133787,267.081177,280.997803,35.098053,10.315774,286.851746
158,0.316000,28.114166,-101.133911,157.577805,24.131701,267.080750,280.995728,35.103340,10.317235,286.851257
159,0.318000,28.112871,-101.132477,157.582169,24.132332,267.081726,281.001740,35.104607,10.318717,286.851685
160,0.320000,28.113968,-101.132133,157.588043,24.130157,267.082733,280.997467,35.103920,10.320939,286.853241
161,0.322000,28.121426,-101.132454,157.578827,24.136627,267.083618,280.996765,35.106281,10.321860,286.851105
162,0.324000,28.119221,-101.131897,157.579239,24.133820,267.080475,280.997406,35.103992,10.321574,286.850159
163,0.326000,28.119064,-101.131790,157.579422,24.136639,267.084412,280.999512,35.101559,10.324894,286.849854
164,0.328000,28.112858,-101.133522,157.576111,24.136120,267.082031,280.999268,35.105068,10.320911,286.853912
165,0.330000,28.114660,-101.129974,157.577957,24.137085,267.081787,280.996765,35.106453,10.316862,286.851318
166,0.332000,28.113853,-101.131332,157.579285,24.136024,267.079468,280.997894,35.108368,10.318421,286.843384
167,0.334000,28.112799,-101.131744,157.576065,24.134951,267.082825,280.994781,35.105545,10.316483,286.846619
168,0.336000,28.119114,-101.133263,157.577347,24.135368,267.083984,280.999054,35.107967,10.315951,286.848480
169,0.338000,28.114609,-101.134598,157.576996,24.134928,267.083282,281.000092,35.101902,10.323360,286.849915
170,0.340000,28.116455,-101.134056,157.582474,24.137325,267.081238,280.998474,35.103149,10.325992,286.848511
171,0.342000,28.117359,-101.133636,157.580292,24.133831,267.081116,281.002594,35.107159,10.319172,286.848969
172,0.344000,28.114098,-101.131950,157.581238,24.132927,267.079346,280.999176,35.107693,10.319514,286.852631
173,0.346000,28.113636,-101.131737,157.585663,24.133110,267.082092,281.000519,35.099445,10.326790,286.846069
174,0.348000,28.112408,-101.133270,157.574982,24.134863,267.082336,281.002014,35.097961,10.319968,286.857117
175,0.350000,28.113888,-101.131325,157.579483,24.132650,267.082245,281.000793,35.099979,10.320818,286.851654
176,0.352000,28.117062,-101.131683,157.578918,24.134050,267.083038,281.002960,35.104507,10.322161,286.846466
177,0.354000,28.116362,-101.134430,157.582169,24.134918,267.082336,280.996368,35.102982,10.326283,286.847565
178,0.356000,28.114483,-101.132088,157.581223,24.132750,267.080231,280.999329,35.102566,10.321492,286.850800
179,0.358000,28.115049,-101.131081,157.583069,24.130430,267.082428,280.997223,35.098194,10.325771,286.848877
180,0.360000,28.113159,-101.128944,157.577728,24.136084,267.080688,280.999054,35.108391,10.318680,286.852051
181,0.362000,28.113102,-101.131714,157.582214,24.135139,267.082031,281.000336,35.110409,10.317758,286.850800
182,0.364000,28.117399,-101.136589,157.582367,24.136959,267.080383,280.999420,35.103123,10.322575,286.848389
183,0.366000,28.121048,-101.135025,157.580185,24.133371,267.079346,281.000214,35.100811,10.320239,286.855042
184,0.368000,28.116520,-101.134071,157.583145,24.134865,267.081879,281.002136,35.106743,10.315027,286.853790
185,0.370000,28.118120,-101.133148,157.580383,24.134710,267.078247,280.999298,35.107765,10.316927,286.854340
186,0.372000,28.113575,-101.135269,157.583008,24.139393,267.079681,280.998993,35.101952,10.319324,286.851471
187,0.374000,28.114391,-101.133194,157.580170,24.134169,267.082764,280.996460,35.106796,10.321014,286.852631
188,0.376000,28.113550,-101.134102,157.580917,24.135284,267.081177,280.996155,35.105068,10.316649,286.852539
189,0.378000,28.111053,-101.135849,157.580948,24.133194,267.083496,281.001160,35.098675,10.318352,286.854431
190,0.380000,28.113602,-101.133469,157.580673,24.133987,267.082123,280.998322,35.102684,10.321861,286.852753
191,0.382000,28.109877,-101.136604,157.579147,24.134277,267.078583,280.996613,35.102005,10.321023,286.852875
192,0.384000,28.109823,-101.135460,157.580933,24.132429,267.082703,280.997559,35.101933,10.323009,286.850922
193,0.386000,28.109987,-101.133476,157.582275,24.134399,267.081116,280.998016,35.097942,10.313265,286.860168
194,0.388000,28.115208,-101.133171,157.581268,24.133247,267.084320,280.996185,35.102375,10.317623,286.852631
195,0.390000,28.115524,-101.132202,157.580215,24.137306,267.081421,280.997162,35.108009,10.320146,286.848602
196,0.392000,28.114937,-101.133827,157.579163,24.136253,267.080139,280.997620,35.103043,10.314137,286.852600
197,0.394000,28.115053,-101.132591,157.579849,24.137348,267.081573,281.000305,35.100925,10.315501,286.859924
198,0.396000,28.116741,-101.136673,157.580307,24.134457,267.079681,280.994049,35.105446,10.318023,286.849335
199,0.398000,28.116465,-101.132744,157.578125,24.132530,267.080994,280.998871,35.102009,10.317204,286.847900
200,0.400000,28.116095,-101.134216,157.579010,24.133152,267.082092,280.996368,35.104622,10.321439,286.849152
201,0.402000,28.114210,-101.136223,157.579880,24.133270,267.080322,280.996490,35.109360,10.317387,286.847870
202,0.404000,28.114626,-101.133316,157.576797,24.138617,267.078918,280.994080,35.103813,10.319475,286.847229
203,0.406000,28.121338,-101.133965,157.577148,24.136644,267.077118,280.995697,35.105537,10.315169,286.854065
204,0.408000,28.116730,-101.133087,157.582565,24.137640,267.081757,280.995148,35.102276,10.320418,286.853333
205,0.410000,28.111816,-101.134369,157.582031,24.136545,267.077240,280.996155,35.105022,10.323057,286.849915
206,0.412000,28.116430,-101.130684,157.577011,24.134880,267.082367,280.999420,35.101219,10.320281,286.850464
207,0.414000,28.118755,-101.131828,157.580521,24.134090,267.084747,280.998657,35.105354,10.320535,286.853729
208,0.416000,28.111895,-101.130806,157.581039,24.137524,267.082245,281.000214,35.106129,10.322104,286.849609
209,0.418000,28.116875,-101.134613,157.584946,24.133051,267.080414,280.993622,35.098858,10.322087,286.855957
210,0.420000,28.113684,-101.133003,157.580612,24.134829,267.082001,280.999268,35.098911,10.323366,286.852600
211,0.422000,28.107414,-101.133331,157.579117,24.128956,267.079254,280.997681,35.099232,10.319267,286.853180
212,0.424000,28.111837,-101.133171,157.581009,24.134935,267.080139,280.995636,35.105316,10.320209,286.850708
213,0.426000,28.117149,-101.134819,157.580994,24.134443,267.079285,280.993164,35.102699,10.321505,286.853149
214,0.428000,28.110367,-101.138466,157.581787,24.134171,267.080322,280.995148,35.103073,10.319611,286.853851
215,0.430000,28.114481,-101.137024,157.579803,24.134563,267.078217,280.997040,35.101055,10.324271,286.848999
216,0.432000,28.115278,-101.134697,157.580399,24.133663,267.080353,280.998474,35.102787,10.320724,286.855438
217,0.434000,28.113373,-101.136208,157.580307,24.135918,267.080688,280.996735,35.108768,10.318067,286.846436
