Format Version,1.23,Take Name,Take 2023-06-26 02.53.05 PM,Take Notes,,Capture Frame Rate,500.000000,Export Frame Rate,500.000000,Capture Start Time,2023-06-26 02.53.05.576 PM,Capture Start Frame,1604334,Total Frames in Take,6959,Total Exported Frames,6959,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1572,Unlabeled 1572,Unlabeled 1572,Unlabeled 1573,Unlabeled 1573,Unlabeled 1573,Unlabeled 1574,Unlabeled 1574,Unlabeled 1574,Unlabeled 1575,Unlabeled 1575,Unlabeled 1575
,ID,"658549E3878145B11EE","658549E3878145B11EE","658549E3878145B11EE","659549E3878145B11EE","659549E3878145B11EE","659549E3878145B11EE","65A549E3878145B11EE","65A549E3878145B11EE","65A549E3878145B11EE","65B549E3878145B11EE","65B549E3878145B11EE","65B549E3878145B11EE"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
105,0.210000,28.119419,-101.127686,157.528091,23.751030,266.893799,281.190979,-1361.780762,224.012268,802.694763,35.081783,10.183614,286.892334
106,0.212000,28.120924,-101.127380,157.528656,23.750908,266.893829,281.195068,-1361.754272,224.015900,802.672607,35.081631,10.185462,286.897888
107,0.214000,28.125532,-101.126793,157.528641,23.752630,266.893860,281.191650,-1361.761597,224.018051,802.685913,35.083271,10.184099,286.892151
108,0.216000,28.120245,-101.127571,157.529037,23.752018,266.897644,281.195648,-1361.744751,224.019257,802.679688,35.086952,10.188324,286.891266
109,0.218000,28.121920,-101.124763,157.530792,23.751093,266.897980,281.191498,-1361.714355,224.022079,802.660583,35.084641,10.185632,286.892303
110,0.220000,28.122704,-101.124359,157.532318,23.751329,266.898804,281.189606,-1361.703857,224.027802,802.651428,35.081387,10.187705,286.897156
111,0.222000,28.118156,-101.124901,157.531723,23.749430,266.897217,281.189117,-1361.695068,224.033890,802.640442,35.081924,10.185534,286.893433
112,0.224000,28.112352,-101.122673,157.526077,23.749058,266.897705,281.191864,-1361.680298,224.023331,802.642578,35.079647,10.184087,286.894958
113,0.226000,28.114889,-101.125504,157.527054,23.749445,266.896515,281.192719,-1361.673096,224.024902,802.633362,35.078651,10.181878,286.892761
114,0.228000,28.118372,-101.125778,157.528305,23.751148,266.895569,281.188660,-1361.650146,224.024918,802.612915,35.075485,10.184603,286.897430
115,0.230000,28.118931,-101.125526,157.525101,23.752125,266.894775,281.193939,-1361.645874,224.031860,802.614197,35.081978,10.183487,286.893097
116,0.232000,28.120275,-101.124855,157.521866,23.750858,266.894135,281.193451,-1361.631714,224.022461,802.612610,35.085316,10.183519,286.892944
117,0.234000,28.120949,-101.123352,157.530182,23.751825,266.897614,281.194855,-1361.620605,224.020126,802.617737,35.085197,10.185455,286.893311
118,0.236000,28.120358,-101.123871,157.528809,23.751678,266.896942,281.194305,-1361.598145,224.017075,802.610107,35.080971,10.183915,286.899078
119,0.238000,28.128345,-101.127731,157.532242,23.754683,266.895996,281.190918,-1361.590088,224.020584,802.606934,35.087410,10.186686,286.900696
120,0.240000,28.123617,-101.123924,157.533646,23.754562,266.897064,281.192322,-1361.568359,224.020660,802.591431,35.084244,10.185375,286.900330
121,0.242000,28.120918,-101.123924,157.531128,23.753275,266.900055,281.193390,-1361.555542,224.034714,802.580688,35.086773,10.192001,286.891418
122,0.244000,28.120876,-101.122856,157.530014,23.751303,266.895935,281.193970,-1361.545166,224.037613,802.572205,35.085297,10.189600,286.891174
123,0.246000,28.116386,-101.121620,157.525467,23.752661,266.896851,281.188110,-1361.535400,224.026627,802.569763,35.080357,10.189127,286.895233
124,0.248000,28.114435,-101.125343,157.527176,23.750479,266.894470,281.190399,-1361.546387,224.020340,802.584167,35.082630,10.184391,286.893158
125,0.250000,28.113115,-101.126015,157.525314,23.750135,266.897217,281.192596,-1361.527954,224.023468,802.558533,35.076576,10.183423,286.894806
126,0.252000,28.113529,-101.122498,157.525726,23.749445,266.895813,281.193146,-1361.508667,224.019745,802.558350,35.079197,10.184626,286.894257
