Format Version,1.23,Take Name,Take 2023-06-29 04.39.19 PM,Take Notes,,Capture Frame Rate,200.000000,Export Frame Rate,200.000000,Capture Start Time,2023-06-29 04.39.20.428 PM,Capture Start Frame,4625309,Total Frames in Take,21896,Total Exported Frames,21896,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1890,Unlabeled 1890,Unlabeled 1890,Unlabeled 1891,Unlabeled 1891,Unlabeled 1891,Unlabeled 1892,Unlabeled 1892,Unlabeled 1892,Unlabeled 1893,Unlabeled 1893,Unlabeled 1893
,ID,"48572ADDA30E168A11EE","48572ADDA30E168A11EE","48572ADDA30E168A11EE","48992ADDA30E168A11EE","48992ADDA30E168A11EE","48992ADDA30E168A11EE","489B2ADDA30E168A11EE","489B2ADDA30E168A11EE","489B2ADDA30E168A11EE","489C2ADDA30E168A11EE","489C2ADDA30E168A11EE","489C2ADDA30E168A11EE"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
121,0.605000,17.120007,958.806641,306.287781,24.673590,252.347382,409.035767,25.717760,571.027405,392.506775,21.987167,821.069031,378.404816
122,0.610000,17.121672,958.806152,306.286926,24.675913,252.349762,409.036011,25.720427,571.021973,392.509033,21.987177,821.065430,378.403809
123,0.615000,17.122063,958.806885,306.291443,24.672291,252.349945,409.032837,25.716688,571.022339,392.505798,21.983490,821.067017,378.400391
124,0.620000,17.119627,958.807068,306.287598,24.676151,252.343811,409.038452,25.716255,571.020752,392.504059,21.987045,821.067932,378.400177
125,0.625000,17.119385,958.807251,306.289825,24.672588,252.347702,409.034821,25.718267,571.021729,392.504761,21.985348,821.066650,378.399597
126,0.630000,17.121452,958.808105,306.290588,24.672632,252.345383,409.033203,25.714773,571.024109,392.502686,21.987337,821.064758,378.402557
127,0.635000,17.119663,958.804504,306.283020,24.674732,252.346390,409.038727,25.718628,571.024353,392.507904,21.982243,821.068909,378.400726
128,0.640000,17.118509,958.807861,306.286377,24.676611,252.347763,409.034821,25.720375,571.024658,392.505402,21.985828,821.065857,378.400299
129,0.645000,17.118565,958.808411,306.286102,24.671747,252.345917,409.031494,25.720959,571.019653,392.505707,21.986927,821.067871,378.398834
130,0.650000,17.117456,958.805969,306.287903,24.675220,252.345291,409.032959,25.713160,571.022644,392.505585,21.987696,821.067383,378.399902
